nl,paraphrases,sql,tables,columns,business_intent,complexity,alternatives,label
What is the average quantity of items available on hand across all warehouses for products that were sold through web sales in the past?,,"SELECT dummy_col, d1.d_year, d1.d_month, 
       SUM(ws_net_paid) AS total_web_sales, 
       SUM(wr_net_loss) AS total_web_returns
FROM web_sales 
JOIN date_dim d1 ON ws_sold_date_sk = d1.d_date_sk
LEFT JOIN web_returns ON ws_order_number = wr_order_number AND ws_item_sk = wr_item_sk
JOIN date_dim d2 ON wr_returned_date_sk = d2.d_date_sk
GROUP BY d1.d_year, d1.d_month
ORDER BY d1.d_year, d1.d_month;",web_sales;web_returns;date_dim,,,hard,,0
What is the average quantity of items available on hand across all warehouses for products that were sold through web sales in the past?,,"SELECT dummy_col, AVG(i.inv_quantity_on_hand) as avg_quantity
FROM inventory i
WHERE i.inv_item_sk IN (SELECT DISTINCT ws_item_sk FROM web_sales)",web_sales;inventory,,,hard,,0
What are the top 5 states with the most stores?,"# Paraphrases of ""What are the top 5 states with the most stores?""

1. Which five states have the highest number of retail establishments?

2. Can you list the 5 states that contain the greatest quantity of stores?

3. Among all states, which ones rank in the top five for store count?","SELECT s_state, COUNT(*) as store_count FROM store GROUP BY s_state ORDER BY store_count DESC LIMIT 5",store,store.s_state,"To identify geographic concentration of the retail network by finding which states have the most store locations. This information is valuable for strategic planning, resource allocation, and understanding market penetration across different regions.",easy,The query could be modified to count only active stores by filtering out closed stores based on s_closed_date_sk;The analysis could be extended to include market regions or divisions for a more hierarchical geographic breakdown,1
What are the top 5 states with the most stores?,,"SELECT dummy_col, w_warehouse_name, w_warehouse_sq_ft FROM warehouse ORDER BY w_warehouse_sq_ft DESC LIMIT 10;",warehouse,warehouse.w_warehouse_name;warehouse.w_warehouse_sq_ft,,easy,,0
What are the top 5 states with the most stores?,,"SELECT dummy_col, s_state, COUNT(*) as store_count FROM store GROUP BY s_state ORDER BY store_count DESC LIMIT 5",store,store.s_state,,medium,,0
How many households fall into each income band and what is the average number of vehicles per income band?,"# Paraphrases

1. For each income category, what is the total count of households and the average number of vehicles owned?

2. Could you provide a breakdown of household distribution across income bands, along with the mean vehicle ownership per band?

3. What is the distribution of households among different income brackets, and what average number of vehicles corresponds to each income level?","SELECT ib.ib_income_band_sk, ib.ib_lower_bound, ib.ib_upper_bound, COUNT(hd.hd_demo_sk) AS household_count, AVG(hd.hd_vehicle_count) AS avg_vehicles FROM income_band ib LEFT JOIN household_demographics hd ON ib.ib_income_band_sk = hd.hd_income_band_sk GROUP BY ib.ib_income_band_sk, ib.ib_lower_bound, ib.ib_upper_bound ORDER BY ib.ib_lower_bound",income_band;household_demographics,,To analyze household distribution across different income segments and understand if there's a relationship between income levels and vehicle ownership. This insight can help marketing teams target specific income demographics with appropriate vehicle-related products or services.,medium,We could also include additional household demographic attributes like buying potential (hd_buy_potential) or number of dependents (hd_dep_count) to get a more comprehensive profile of each income band.,1
How many households fall into each income band and what is the average number of vehicles per income band?,,"SELECT dummy_col, SUM(wr_return_amt) AS total_refund_amount FROM web_returns wr JOIN web_site ws ON wr.wr_web_site_sk = ws.web_site_sk WHERE ws.web_state = 'CA'",web_returns;web_site,,,hard,,0
How many households fall into each income band and what is the average number of vehicles per income band?,,"SELECT dummy_col, ib.ib_income_band_sk, ib.ib_lower_bound, ib.ib_upper_bound, COUNT(hd.hd_demo_sk) AS household_count, AVG(hd.hd_vehicle_count) AS avg_vehicles FROM income_band ib LEFT JOIN household_demographics hd ON ib.ib_income_band_sk = hd.hd_income_band_sk GROUP BY ib.ib_income_band_sk, ib.ib_lower_bound, ib.ib_upper_bound ORDER BY ib.ib_lower_bound",income_band;household_demographics,,,hard,,0
What are the average inventory quantities for each item category?,"# Paraphrases of the Original Question

1. For each category of items, what is the mean inventory level?

2. What quantities, on average, are maintained in inventory across the different item categories?

3. How many units, on average, do we keep in stock for each type of item category?","SELECT i.i_category, AVG(inv.inv_quantity_on_hand) AS avg_quantity
FROM inventory inv
JOIN item i ON inv.inv_item_sk = i.i_item_sk
WHERE inv.inv_quantity_on_hand IS NOT NULL
GROUP BY i.i_category
ORDER BY i.i_category",inventory;item,,"To analyze inventory levels by product category to inform category-level inventory management strategies, identify categories with excess or insufficient stock, and support inventory optimization decisions.",medium,We could also segment this data further by warehouse to understand category inventory distribution across locations;The analysis could be enhanced by adding time dimensions using inv_date_sk to track seasonal patterns by category,1
What are the average inventory quantities for each item category?,,"SELECT t.t_hour, COUNT(*) as promotion_count FROM promotion p JOIN time_dim t ON p.p_start_date_sk = t.t_time_sk WHERE p.p_channel_catalog = 'Y' GROUP BY t.t_hour ORDER BY promotion_count DESC LIMIT 5",promotion;time_dim,,,hard,,0
What are the average inventory quantities for each item category?,,"SELECT dummy_col, i.i_category, AVG(inv.inv_quantity_on_hand) AS avg_quantity
FROM inventory inv
JOIN item i ON inv.inv_item_sk = i.i_item_sk
WHERE inv.inv_quantity_on_hand IS NOT NULL
GROUP BY i.i_category
ORDER BY i.i_category",inventory;item,,,hard,,0
What are the different buying potential categories in the household demographics data?,"# Paraphrased Versions

1. What are the various categories used to classify purchasing power in the household demographics dataset?

2. In the household demographics information, how are the different levels of consumer spending potential categorized?

3. Could you identify the distinct classifications of buying capacity that exist within the household demographics data?",SELECT DISTINCT hd_buy_potential FROM household_demographics ORDER BY hd_buy_potential;,household_demographics,household_demographics.hd_buy_potential,"To understand the different qualitative classifications used to segment households based on their purchasing power or propensity. This information can help in marketing strategies, customer segmentation, and targeting specific household groups based on their buying potential.",easy,"SELECT hd_buy_potential, COUNT(*) FROM household_demographics GROUP BY hd_buy_potential ORDER BY hd_buy_potential;;SELECT hd_buy_potential FROM household_demographics GROUP BY hd_buy_potential ORDER BY hd_buy_potential;",1
What are the different buying potential categories in the household demographics data?,,"SELECT t.t_hour, COUNT(*) as address_count FROM customer_address ca JOIN time_dim t ON ca.ca_gmt_offset = -8 GROUP BY t.t_hour ORDER BY address_count DESC",time_dim;customer_address,,,hard,,0
What are the different buying potential categories in the household demographics data?,,"SELECT DISTINCT dummy_col, hd_buy_potential FROM household_demographics ORDER BY hd_buy_potential;",household_demographics,household_demographics.hd_buy_potential,,easy,,0
Which carrier has the most shipping modes?,"# Paraphrases of ""Which carrier has the most shipping modes?""

1. What transportation company offers the greatest variety of delivery methods?

2. Among logistics providers, which one provides the widest range of shipping options?

3. Which freight service has the largest selection of transportation modes available?","SELECT sm_carrier, COUNT(*) as mode_count FROM ship_mode GROUP BY sm_carrier ORDER BY mode_count DESC LIMIT 1",ship_mode,ship_mode.sm_carrier,"To identify the carrier with the most diverse shipping options, which helps understand the company's logistics partnerships and shipping capabilities. This information can be valuable for supply chain management and vendor relationship assessment.",easy,"SELECT sm_carrier FROM ship_mode GROUP BY sm_carrier ORDER BY COUNT(*) DESC LIMIT 1;WITH carrier_counts AS (SELECT sm_carrier, COUNT(*) as mode_count FROM ship_mode GROUP BY sm_carrier) SELECT sm_carrier FROM carrier_counts WHERE mode_count = (SELECT MAX(mode_count) FROM carrier_counts)",1
Which carrier has the most shipping modes?,,"SELECT dummy_col, sm.sm_carrier, COUNT(*) as carrier_count FROM store_sales ss JOIN ship_mode sm ON ss.ss_ship_mode_sk = sm.sm_ship_mode_sk GROUP BY sm.sm_carrier ORDER BY carrier_count DESC LIMIT 1",ship_mode;store_sales,,,hard,,0
Which carrier has the most shipping modes?,,"SELECT dummy_col, sm_carrier, COUNT(*) as mode_count FROM ship_mode GROUP BY sm_carrier ORDER BY mode_count DESC LIMIT 1",ship_mode,ship_mode.sm_carrier,,medium,,0
What is the total web sales amount for each month in 2002?,"# Paraphrased Versions

1. For every month during 2002, what was the sum of all web sales?

2. Could you provide a monthly breakdown of the total web sales figures throughout 2002?

3. How much revenue was generated from online sales in each month of 2002?","SELECT d.d_month, SUM(ws.ws_net_paid) as total_sales
FROM web_sales ws
JOIN date_dim d ON ws.ws_sold_time_sk = d.d_date_sk
WHERE d.d_year = 2002
GROUP BY d.d_month
ORDER BY d.d_month",web_sales;date_dim,,To analyze the monthly sales trends for the e-commerce platform throughout 2002. This helps in understanding seasonal patterns in online sales performance and identifying high and low performing months for that specific year.,medium,Could also use ws_ship_date_sk instead of ws_sold_time_sk if the business is interested in when orders were shipped rather than sold.;Could use other sales metrics like ws_net_profit or ws_sales_price instead of ws_net_paid depending on the exact business need.,1
What is the total web sales amount for each month in 2002?,,"SELECT i_item_id, i_item_desc, i_current_price FROM item WHERE i_current_price > (SELECT AVG(i_current_price) FROM item)",item,item.i_current_price;item.i_item_id;item.i_item_desc,,hard,,0
What is the total web sales amount for each month in 2002?,,"SELECT dummy_col, d.d_month, SUM(ws.ws_net_paid) as total_sales
FROM web_sales ws
JOIN date_dim d ON ws.ws_sold_time_sk = d.d_date_sk
WHERE d.d_year = 2002
GROUP BY d.d_month
ORDER BY d.d_month",web_sales;date_dim,,,hard,,0
"Which states have customers who have spent over $10,000 in total web sales?","# Paraphrases of ""Which states have customers who have spent over $10,000 in total web sales?""

1. In which states do you find customers whose cumulative online purchases exceed $10,000?

2. For total web sales surpassing $10,000, which states are home to such high-spending customers?

3. Which geographic states contain customers with aggregate internet sales of more than $10,000?","SELECT DISTINCT ca.ca_state
FROM customer_address ca
JOIN web_sales ws ON ca.ca_address_sk = ws.ws_bill_customer_sk
GROUP BY ca.ca_state
HAVING SUM(ws.ws_net_paid) > 10000
ORDER BY ca.ca_state",web_sales;customer_address,,"To identify high-value geographic markets by finding states with significant customer spending. This information can be used for targeted marketing campaigns, expansion planning, or resource allocation based on customer concentration and spending behavior.",medium,Could also use ws_bill_addr_sk instead of ws_bill_customer_sk for the join if the goal is to analyze billing addresses rather than customer locations.;Could analyze by different geographic granularities like ca_county or ca_zip instead of state for more localized insights.,1
"Which states have customers who have spent over $10,000 in total web sales?",,"SELECT i.i_category, SUM(ws.ws_net_paid) as total_sales FROM web_sales ws JOIN item i ON ws.ws_item_sk = i.i_item_sk GROUP BY i.i_category ORDER BY total_sales DESC",web_sales;item,,,hard,,0
"Which states have customers who have spent over $10,000 in total web sales?",,"SELECT DISTINCT dummy_col, ca.ca_state
FROM customer_address ca
JOIN web_sales ws ON ca.ca_address_sk = ws.ws_bill_customer_sk
GROUP BY ca.ca_state
HAVING SUM(ws.ws_net_paid) > 10000
ORDER BY ca.ca_state",web_sales;customer_address,,,hard,,0
What are the top 5 months with the highest number of web pages created?,"# Paraphrases of the Original Question

1. Which five months had the greatest volume of new web pages being created?

2. In terms of web page creation, which 5 months show the highest production rates?

3. If we rank months by the quantity of web pages generated, which ones occupy the top 5 positions?","SELECT d.d_month, d.d_year, COUNT(*) as page_count FROM web_page wp JOIN date_dim d ON wp.wp_creation_date_sk = d.d_date_sk GROUP BY d.d_month, d.d_year ORDER BY page_count DESC LIMIT 5",web_page;date_dim,,"To identify seasonal trends in web page creation activity by determining which months historically have the highest volume of new pages being created. This information can help with resource planning, content strategy, and understanding peak periods of digital content development.",medium,We could modify this to analyze by quarter instead of month by using d_qoy (quarter of year) instead of d_month;We could look at web page creation trends by day of week to identify whether more pages are created on specific weekdays,1
What are the top 5 months with the highest number of web pages created?,,"SELECT dummy_col, cp_department, COUNT(*) AS page_count FROM catalog_page GROUP BY cp_department ORDER BY page_count DESC",catalog_page,catalog_page.cp_department,,medium,,0
What are the top 5 months with the highest number of web pages created?,,"SELECT dummy_col, d.d_month, d.d_year, COUNT(*) as page_count FROM web_page wp JOIN date_dim d ON wp.wp_creation_date_sk = d.d_date_sk GROUP BY d.d_month, d.d_year ORDER BY page_count DESC LIMIT 5",web_page;date_dim,,,hard,,0
How many product returns were processed in each month of 2022?,"# Paraphrases of the Original Question

1. What was the monthly breakdown of processed product returns throughout 2022?

2. For each month in 2022, how many items were processed as returns?

3. Can you provide the number of product returns that were processed month by month during 2022?","SELECT d.d_month, COUNT(*) as return_count 
FROM store_returns sr 
JOIN date_dim d ON sr.sr_returned_date_sk = d.d_date_sk 
WHERE d.d_year = 2022 
GROUP BY d.d_month 
ORDER BY d.d_month",store_returns;date_dim,,"To analyze the seasonal patterns in product returns throughout 2022, which helps in understanding return volume fluctuations, planning staffing needs for processing returns, and identifying potential issues with products sold during specific months.",easy,We could also look at this data by quarter instead of by month with 'GROUP BY d.d_qoy';We could enhance this analysis by including return amounts with 'SUM(sr_return_amt)' to see not just the count but the financial impact by month,1
How many product returns were processed in each month of 2022?,,"SELECT inv_warehouse_sk, AVG(inv_quantity_on_hand) AS avg_quantity 
FROM inventory 
GROUP BY inv_warehouse_sk 
ORDER BY inv_warehouse_sk;",inventory,inventory.inv_quantity_on_hand;inventory.inv_warehouse_sk,,medium,,0
How many product returns were processed in each month of 2022?,,"SELECT dummy_col, d.d_month, COUNT(*) as return_count 
FROM store_returns sr 
JOIN date_dim d ON sr.sr_returned_date_sk = d.d_date_sk 
WHERE d.d_year = 2022 
GROUP BY d.d_month 
ORDER BY d.d_month",store_returns;date_dim,,,hard,,0
Which customers have made the most web returns?,"# Paraphrases of ""Which customers have made the most web returns?""

1. Who are the customers with the highest number of online product returns?

2. Which clients have returned items purchased on the website more frequently than others?

3. Can you identify the customers that have the greatest quantity of returns from web purchases?","SELECT c.c_customer_id, c.c_first_name, c.c_last_name, COUNT(*) as return_count FROM web_returns wr JOIN customer c ON wr.wr_refunded_customer_sk = c.c_customer_sk GROUP BY c.c_customer_id, c.c_first_name, c.c_last_name ORDER BY return_count DESC LIMIT 10",web_returns;customer,,"To identify customers with the highest return frequency which could help improve customer service, address product quality issues, or identify potential return abuse patterns. This analysis supports customer retention strategies and reduces costs associated with excessive returns.",medium,"We could also count returns by the returning customer (wr_returning_customer_sk) rather than the refunded customer if the business focus is on who physically returned items rather than who received refunds.;For deeper analysis, we could include demographic data or add time dimensions to analyze return patterns over specific periods.",1
Which customers have made the most web returns?,,"SELECT s.s_store_id, s.s_store_name, COUNT(*) as return_count 
FROM store_returns sr 
JOIN store s ON sr.sr_store_sk = s.s_store_sk 
JOIN date_dim d ON sr.sr_returned_date_sk = d.d_date_sk 
WHERE d.d_year = 2002 
GROUP BY s.s_store_id, s.s_store_name 
ORDER BY return_count DESC",store_returns;date_dim;store,,,hard,,0
Which customers have made the most web returns?,,"SELECT dummy_col, c.c_customer_id, c.c_first_name, c.c_last_name, COUNT(*) as return_count FROM web_returns wr JOIN customer c ON wr.wr_refunded_customer_sk = c.c_customer_sk GROUP BY c.c_customer_id, c.c_first_name, c.c_last_name ORDER BY return_count DESC LIMIT 10",web_returns;customer,,,hard,,0
What are the top 5 buying potential categories and how many households fall into each?,"# Paraphrases of the Original Question

1. Could you identify the five categories with the highest buying potential and provide the number of households in each category?

2. Which five segments represent the greatest purchasing power, and what is the household count for each of these segments?

3. Please list the top 5 classifications based on buying potential and specify how many households are distributed across each of these classifications.","SELECT hd_buy_potential, COUNT(*) as household_count FROM household_demographics GROUP BY hd_buy_potential ORDER BY household_count DESC LIMIT 5",household_demographics,household_demographics.hd_buy_potential,"To understand the distribution of households across different buying potential categories, which helps in market segmentation and identifying the most common purchasing power classifications among the customer base. This insight can guide marketing strategies and resource allocation.",easy,"SELECT hd_buy_potential, COUNT(*) as count FROM household_demographics GROUP BY hd_buy_potential ORDER BY count DESC FETCH FIRST 5 ROWS ONLY;SELECT hd_buy_potential, COUNT(hd_demo_sk) as household_count FROM household_demographics GROUP BY hd_buy_potential ORDER BY household_count DESC LIMIT 5",1
What are the top 5 buying potential categories and how many households fall into each?,,"SELECT SUM(ss_net_paid) AS total_net_paid 
FROM store_sales 
JOIN customer_address ON ss_addr_sk = ca_address_sk 
WHERE ca_city LIKE 'M%';",store_sales;customer_address,,,hard,,0
What are the top 5 buying potential categories and how many households fall into each?,,"SELECT dummy_col, hd_buy_potential, COUNT(*) as household_count FROM household_demographics GROUP BY hd_buy_potential ORDER BY household_count DESC LIMIT 5",household_demographics,household_demographics.hd_buy_potential,,medium,,0
How many web sales transactions were made by customers with a college education status?,"# Paraphrases of the Original Question

1. What is the total number of online purchase transactions completed by customers who have attained a college education level?

2. How frequently did individuals with college-level educational backgrounds make purchases through the web platform?

3. Can you provide the count of web-based sales transactions that were conducted by customers who indicated their education status as college-educated?",SELECT COUNT(*) FROM web_sales ws JOIN customer_demographics cd ON ws.ws_bill_cdemo_sk = cd.cd_demo_sk WHERE cd.cd_education_status LIKE '%College%',web_sales;customer_demographics,,"To understand the purchasing behavior of college-educated customers in the online sales channel, which helps in demographic segmentation and targeted marketing strategies for customers with higher education levels.",medium,Could also analyze by specific college education status types if they exist in the data;Could expand the query to compare college-educated customers with other education levels,1
How many web sales transactions were made by customers with a college education status?,,"SELECT p_promo_id, p_promo_name, p_cost, p_end_date_sk 
FROM promotion 
WHERE p_cost > 1000 
ORDER BY p_end_date_sk DESC 
LIMIT 5;",promotion,promotion.p_end_date_sk;promotion.p_promo_id;promotion.p_cost;promotion.p_promo_name,,easy,,0
How many web sales transactions were made by customers with a college education status?,,"SELECT dummy_col, COUNT(*) FROM web_sales ws JOIN customer_demographics cd ON ws.ws_bill_cdemo_sk = cd.cd_demo_sk WHERE cd.cd_education_status LIKE '%College%'",web_sales;customer_demographics,,,hard,,0
What is the average square footage of warehouses in each state?,"# Paraphrases of ""What is the average square footage of warehouses in each state?""

1. For every state, what is the mean warehouse size measured in square feet?

2. How many square feet do warehouses typically occupy, on average, in different states across the country?

3. What's the state-by-state breakdown of average warehouse dimensions when measured in square footage?","SELECT w_state, AVG(w_warehouse_sq_ft) AS avg_square_footage FROM warehouse GROUP BY w_state ORDER BY w_state",warehouse,warehouse.w_state;warehouse.w_warehouse_sq_ft,"To analyze warehouse capacity distribution across different states, which helps in understanding regional warehouse size patterns and can inform facility planning, capacity management, and geographic expansion strategies.",easy,"The query could include COUNT(w_warehouse_sk) to show how many warehouses are in each state alongside the average size, providing additional context for the analysis.",1
What is the average square footage of warehouses in each state?,,"SELECT ib.ib_income_band_sk, ib.ib_lower_bound, ib.ib_upper_bound, COUNT(c.c_customer_sk) AS customer_count FROM income_band ib LEFT JOIN customer c ON c.c_income_band_id = ib.ib_income_band_sk GROUP BY ib.ib_income_band_sk, ib.ib_lower_bound, ib.ib_upper_bound ORDER BY ib.ib_lower_bound;",income_band;customer,,,hard,,0
What is the average square footage of warehouses in each state?,,"SELECT dummy_col, w_state, AVG(w_warehouse_sq_ft) AS avg_square_footage FROM warehouse GROUP BY w_state ORDER BY w_state",warehouse,warehouse.w_state;warehouse.w_warehouse_sq_ft,,medium,,0
What is the total inventory quantity on hand across all warehouses?,"# Paraphrases of ""What is the total inventory quantity on hand across all warehouses?""

1. Across all warehouse locations, what is the combined total of inventory currently in stock?

2. How much inventory do we have in total when counting all warehouses together?

3. What's the aggregate quantity of on-hand inventory summed across every warehouse facility?",SELECT SUM(inv_quantity_on_hand) AS total_inventory FROM inventory WHERE inv_quantity_on_hand > 0,inventory,inventory.inv_quantity_on_hand,"To assess the overall inventory position of the business. This aggregate information helps management understand total stock levels, which is crucial for supply chain planning, financial reporting (inventory valuation), and operational capacity assessment.",easy,"SELECT SUM(inv_quantity_on_hand) AS total_inventory FROM inventory;SELECT COUNT(inv_item_sk) AS total_unique_items, SUM(inv_quantity_on_hand) AS total_inventory FROM inventory",1
What is the total inventory quantity on hand across all warehouses?,,"SELECT dummy_col, i.i_category, COUNT(*) as return_count FROM web_returns wr JOIN item i ON wr.wr_item_sk = i.i_item_sk GROUP BY i.i_category ORDER BY return_count DESC LIMIT 5",web_returns;item,,,hard,,0
What is the total inventory quantity on hand across all warehouses?,,"SELECT dummy_col, SUM(inv_quantity_on_hand) AS total_inventory FROM inventory WHERE inv_quantity_on_hand > 0",inventory,inventory.inv_quantity_on_hand,,easy,,0
What is the distribution of buying potential classifications across households?,"# Paraphrases of the Original Question

1. How are households distributed among different buying potential categories?

2. What percentage of households falls into each classification of purchasing power?

3. Across the population of households, how are the various levels of buying capacity distributed?","SELECT hd_buy_potential, COUNT(*) as household_count FROM household_demographics GROUP BY hd_buy_potential ORDER BY household_count DESC",household_demographics,household_demographics.hd_buy_potential,"To understand the distribution of households across different buying potential segments, which helps in marketing strategy development, customer segmentation, and sales forecasting by identifying the purchasing power demographics of the customer base.",easy,"SELECT hd_buy_potential, COUNT(*) as count, ROUND(COUNT(*) * 100.0 / (SELECT COUNT(*) FROM household_demographics), 2) as percentage FROM household_demographics GROUP BY hd_buy_potential ORDER BY count DESC",1
What is the distribution of buying potential classifications across households?,,"SELECT dummy_col, AVG(cs.cs_quantity) AS avg_quantity_per_transaction
FROM catalog_sales cs
JOIN web_page wp ON cs.cs_web_page_sk = wp.wp_web_page_sk
WHERE wp.wp_creation_date_sk IN (
  SELECT d_date_sk 
  FROM date_dim 
  WHERE d_year = 2002 AND d_moy = 1
)",catalog_sales;date_dim;web_page,,,hard,,0
What is the distribution of buying potential classifications across households?,,"SELECT dummy_col, hd_buy_potential, COUNT(*) as household_count FROM household_demographics GROUP BY hd_buy_potential ORDER BY household_count DESC",household_demographics,household_demographics.hd_buy_potential,,medium,,0
What is the average net loss amount for web returns by call center?,"# Paraphrases of the Original Question

1. What is the mean financial loss incurred from online purchases returned through the call center?

2. For returns processed by the call center that originated from web orders, what is the average monetary deficit?

3. How much money is lost on average when customers return web-purchased items via the call center?","SELECT cc.cc_call_center_id, AVG(wr.wr_net_loss) as avg_net_loss
FROM web_returns wr
JOIN call_center cc ON wr.wr_call_center_sk = cc.cc_call_center_sk
GROUP BY cc.cc_call_center_id
ORDER BY avg_net_loss DESC;",web_returns;call_center,,"To analyze the financial impact of web returns by call center location, helping management identify which call centers handle returns with higher average losses. This information can guide operational improvements and training needs for specific call centers.",medium,We could include additional dimensions like time periods by adding date ranges or grouping by time periods.;We could enhance the analysis by including call center attributes like cc_name or cc_class to provide more context about each center's characteristics.,1
What is the average net loss amount for web returns by call center?,,"SELECT DISTINCT dummy_col, i.i_item_id, i.i_product_name, i.i_item_desc FROM item i JOIN promotion p ON i.i_item_sk = p.p_item_sk WHERE p.p_channel_email = 1 AND p.p_channel_dmail = 1",promotion;item,,,hard,,0
What is the average net loss amount for web returns by call center?,,"SELECT dummy_col, cc.cc_call_center_id, AVG(wr.wr_net_loss) as avg_net_loss
FROM web_returns wr
JOIN call_center cc ON wr.wr_call_center_sk = cc.cc_call_center_sk
GROUP BY cc.cc_call_center_id
ORDER BY avg_net_loss DESC;",web_returns;call_center,,,hard,,0
What is the distribution of promotion types by gender?,"# Paraphrases of ""What is the distribution of promotion types by gender?""

1. How are different types of promotions distributed when analyzed according to gender?

2. Can you break down the various promotion categories and show how they are allocated between genders?

3. What patterns emerge when examining how promotion classifications are spread across male and female employees?","SELECT cd_gender, p_promo_name, COUNT(*) as promotion_count FROM promotion p JOIN customer_demographics cd GROUP BY cd_gender, p_promo_name ORDER BY cd_gender, promotion_count DESC",promotion;customer_demographics,,"To analyze how promotions are distributed across different gender demographics, which helps marketing teams understand if certain promotion types are more effective or frequently used for specific gender segments. This insight can guide targeted marketing strategies and help optimize promotional campaigns.",medium,"SELECT cd_gender, COUNT(*) as promotion_count FROM promotion p JOIN customer_demographics cd GROUP BY cd_gender ORDER BY promotion_count DESC;SELECT p_promo_name, cd_gender, COUNT(*) as count FROM promotion p JOIN customer_demographics cd GROUP BY p_promo_name, cd_gender ORDER BY p_promo_name, count DESC",1
What is the distribution of promotion types by gender?,,"SELECT dummy_col, ib.ib_income_band_sk, ib.ib_lower_bound, ib.ib_upper_bound, COUNT(hd.hd_demo_sk) AS household_count, AVG(hd.hd_vehicle_count) AS avg_vehicles FROM income_band ib LEFT JOIN household_demographics hd ON ib.ib_income_band_sk = hd.hd_income_band_sk GROUP BY ib.ib_income_band_sk, ib.ib_lower_bound, ib.ib_upper_bound ORDER BY ib.ib_lower_bound",income_band;household_demographics,,,hard,,0
What is the distribution of promotion types by gender?,,"SELECT dummy_col, cd_gender, p_promo_name, COUNT(*) as promotion_count FROM promotion p JOIN customer_demographics cd GROUP BY cd_gender, p_promo_name ORDER BY cd_gender, promotion_count DESC",promotion;customer_demographics,,,hard,,0
What is the total inventory quantity available across all warehouses?,"# Paraphrases of the Original Question

1. How many units do we have in stock when counting all warehouse locations combined?

2. What's the sum of all available inventory items stored across our entire warehouse network?

3. If we tallied the complete product inventory from each warehouse facility, what would be the aggregate quantity?",SELECT SUM(inv_quantity_on_hand) AS total_inventory FROM inventory;,inventory,inventory.inv_quantity_on_hand,"To determine the overall inventory position of the company by calculating the total quantity of all items across all warehouses. This information helps with high-level inventory management, financial reporting, and strategic planning.",easy,"SELECT SUM(inv_quantity_on_hand) AS total_inventory FROM inventory WHERE inv_quantity_on_hand > 0;;SELECT COUNT(*) AS total_items, SUM(inv_quantity_on_hand) AS total_quantity FROM inventory;",1
What is the total inventory quantity available across all warehouses?,,"SELECT dummy_col, AVG(inv_quantity_on_hand) as avg_quantity FROM inventory",inventory,inventory.inv_quantity_on_hand,,easy,,0
What is the total inventory quantity available across all warehouses?,,"SELECT dummy_col, SUM(inv_quantity_on_hand) AS total_inventory FROM inventory;",inventory,inventory.inv_quantity_on_hand,,easy,,0
What are the top 5 most expensive items available for sale?,"# Paraphrases of ""What are the top 5 most expensive items available for sale?""

1. Could you list the five highest-priced products currently on the market?

2. Which five items for purchase have the steepest price tags?

3. What are the five most costly merchandise options that can be bought right now?","SELECT i_item_id, i_item_desc, i_current_price FROM item ORDER BY i_current_price DESC LIMIT 5",item,item.i_current_price;item.i_item_id;item.i_item_desc,"To identify the highest-priced items in the inventory, which is valuable for pricing strategy analysis, luxury market positioning, and understanding the premium product segment.",easy,Could modify the query to include additional item attributes like brand or category to provide more context about these expensive items.,1
What are the top 5 most expensive items available for sale?,,"SELECT ib.ib_income_band_sk, ib.ib_lower_bound, ib.ib_upper_bound, COUNT(ws.ws_bill_customer_sk) AS transaction_count FROM web_sales ws JOIN income_band ib ON (ws.ws_bill_cdemo_sk = ib.ib_income_band_sk) GROUP BY ib.ib_income_band_sk, ib.ib_lower_bound, ib.ib_upper_bound ORDER BY ib.ib_lower_bound;",income_band;web_sales,,,hard,,0
What are the top 5 most expensive items available for sale?,,"SELECT dummy_col, i_item_id, i_item_desc, i_current_price FROM item ORDER BY i_current_price DESC LIMIT 5",item,item.i_current_price;item.i_item_id;item.i_item_desc,,easy,,0
Which states have the highest number of catalog sales?,"# Paraphrases of ""Which states have the highest number of catalog sales?""

1. In which states do catalog sales reach their peak numbers?

2. What are the top states ranked by volume of catalog sales?

3. Which geographical regions within the United States demonstrate the greatest quantity of purchases made through catalogs?","SELECT ca.ca_state, COUNT(*) as sales_count FROM catalog_sales cs JOIN customer_address ca ON cs.cs_bill_addr_sk = ca.ca_address_sk GROUP BY ca.ca_state ORDER BY sales_count DESC",catalog_sales;customer_address,,"To identify which geographical regions (states) generate the most catalog sales, which helps in targeting marketing efforts, optimizing distribution networks, and understanding regional customer preferences.",medium,"You could also analyze this by shipping address instead of billing address by joining on cs_ship_addr_sk instead of cs_bill_addr_sk to see if there are differences between where customers ship to versus where they're billed.;For more granular analysis, you could group by both state and city to identify specific metropolitan areas with high catalog sales activity.",1
Which states have the highest number of catalog sales?,,"SELECT d.d_month, SUM(cr.cr_return_amount) as total_returns
FROM catalog_returns cr
JOIN date_dim d ON cr.cr_returned_date_sk = d.d_date_sk
WHERE d.d_year = 2002
GROUP BY d.d_month
ORDER BY d.d_month",catalog_returns;date_dim,,,hard,,0
Which states have the highest number of catalog sales?,,"SELECT dummy_col, ca.ca_state, COUNT(*) as sales_count FROM catalog_sales cs JOIN customer_address ca ON cs.cs_bill_addr_sk = ca.ca_address_sk GROUP BY ca.ca_state ORDER BY sales_count DESC",catalog_sales;customer_address,,,hard,,0
